unique,name ,district_number,title ,party,gender,ethnicity,education,years_in_office,military_service,marital_status,elections_run,committess_no,counties_in_district,towns_in_district,sexuality 
obv1,Michael L.Testa Jr.,1,1,2,1,2,4,6,1,2,2,4,3,27,1
obv2,Antwan L. McClellan,1,2,2,1,2,2,5,1,2,4,6,3,27,1
obv3,Erik K. Simonsen,1,2,2,1,2,3,5,1,2,3,4,3,27,1
obv4,Vincetn J. Polistina,2,1,2,1,2,2,8,1,2,4,2,1,14,1
obv5,Donald A. Gurdian,2,2,2,1,2,2,3,1,2,2,2,1,14,2
obv6,Claire S. Swift,2,2,2,2,2,4,3,1,2,2,2,1,14,1
obv7,John J. Burzichelli,3,1,1,1,2,1,20,1,2,9,4,3,38,1
obv8,David Bailey Jr.,3,2,1,1,2,3,1,1,2,2,2,3,38,1
obv9,Heather Simmons,3,2,1,2,2,3,1,1,2,2,4,3,38,1
obv10,Paul D. Moriarty,4,1,1,1,2,2,1,1,2,2,3,3,10,1
obv11,Dan Hutchison,4,2,1,1,2,4,1,1,2,2,4,3,10,1
obv12,Cody D. Miller,4,2,1,1,2,3,1,1,2,2,3,3,10,1
obv13,Nilsa I. Cruz-Persez,5,1,1,2,1,2,11,2,2,2,5,2,16,1
obv14,William F. Moen Jr.,5,2,1,1,2,3,5,1,2,3,3,2,16,1
obv15,William W. Spearman,5,2,1,1,2,2,7,1,2,4,3,2,16,1
obv16,James Beach,6,1,1,1,2,2,16,1,2,4,1,2,20,1
obv17,Louis D. Greenwald,6,2,1,1,2,4,29,1,2,15,1,2,20,1
obv18,Melinda Kane,6,2,1,2,2,2,1,1,2,1,3,2,20,1
obv19,Troy Singleton,7,1,1,1,2,2,7,1,2,2,3,1,17,1
obv20,Carol A. Murphy,7,2,1,2,2,2,7,1,2,4,3,1,17,1
obv21,Balvir Singh,7,2,1,1,2,2,1,1,2,1,2,1,17,1
obv22,Lathan Tiver,8,1,2,1,2,1,1,1,2,1,3,2,25,1
obv23,Andrea Katz,8,2,1,2,2,2,1,1,2,1,3,2,25,1
obv24,Michael Torrissi Jr.,8,2,2,1,2,2,3,1,2,2,2,2,25,1
obv25,Carmen F. Amato Jr.,9,1,2,1,2,2,2,1,2,1,3,1,19,1
obv26,Gregory E. Myhre,9,2,2,1,2,2,1,1,2,2,2,1,19,1
obv27,Brian E. Rumpf,9,2,2,1,2,2,22,1,2,2,4,1,19,1
obv28,James W. Holzapfel,10,1,2,1,2,4,13,1,2,5,4,2,16,1
obv29,Paul Kanitra,10,2,2,1,2,2,1,1,2,1,3,2,16,1
obv30,Gregory P. McGuckin,10,2,2,1,2,4,13,1,2,7,2,2,16,1
obv31,Vin Gopal,11,1,1,1,2,3,7,1,2,3,2,1,19,1
obv32,Margie Donlon,11,2,1,2,2,4,2,1,2,1,2,1,19,1
obv33,Luanne M. Peterpaul,11,2,1,2,2,4,2,1,2,1,2,1,19,2
obv34,Owen Henry,12,1,2,1,2,2,2,1,2,1,3,4,12,1
obv35,Robert D. Clifton,12,2,2,1,2,3,14,1,2,7,3,4,12,1
obv36,Alex Sauicki,12,2,2,1,2,2,1,1,2,1,2,4,12,1
obv37,Declan J. O'Scanlon Jr.,13,1,2,1,2,3,7,1,2,2,3,1,16,1
obv38,Victoria A. Flynn,13,2,2,2,2,4,3,1,2,3,4,1,16,1
obv39,Gerry Scharfenburger,13,2,2,1,2,5,5,1,2,4,5,1,16,1
obv40,Linda R. Greenstein,14,1,1,2,2,4,15,1,2,4,4,2,8,1
obv41,Wayne P. DeAngelo,14,2,1,1,2,1,17,1,2,6,2,2,8,1
obv42,Tennille R. McCoy,14,2,1,2,2,2,1,1,2,2,3,2,8,1
obv43,Shirley K. Turner,15,1,2,2,2,3,27,1,2,8,5,2,14,1
obv44,Verlina Reynolds-Jackson,15,2,2,2,2,2,7,1,2,5,6,2,14,1
obv45,Anthony S. Verrelli,15,2,2,1,2,1,7,1,2,3,5,2,14,1
obv46,Andrew Zwicker,16,1,2,1,2,5,3,1,2,1,5,4,14,1
obv47,Mitchelle Drulis,16,2,2,2,2,2,1,1,2,1,3,4,14,1
obv48,Roy Freiman,16,2,2,1,2,2,7,1,2,5,3,4,14,1
obv49,Bob Smith ,17,1,1,1,2,4,23,1,2,10,2,2,5,1
obv50,Joe Danielsen (ASM),17,2,1,1,2,1,11,1,2,5,3,5,5,1
obv51,Kevin P. Egan (ASM),17,2,1,1,2,2,1,1,2,1,2,5,7,1
obv52,Patrick J. Diegnan (S),18,1,1,1,2,4,8,1,2,12,2,1,7,1
obv53,Robert J. Karabinchak (ASM),18,2,1,1,2,4,9,1,3,5,3,1,5,1
obv54,Sternly S. Stanley (ASM),18,2,1,1,2,1,4,2,3,4,3,1,5,1
obv55,Joseph F. Vitale (S),19,1,1,1,2,1,27,1,2,8,2,1,5,1
obv56,Craig J. Coughlin ,19,2,1,1,2,4,15,1,2,8,1,1,5,1
obv57,Yvonne Lopez (ASW),19,2,1,2,1,2,7,1,2,4,1,1,5,1
obv58,Joseph P. Cryan (S),20,1,1,1,2,2,23,1,2,10,2,1,4,1
obv59,Reginald W. Atkins (ASM),20,2,1,1,2,2,3,1,2,3,3,1,4,1
obv60,Annette Quijano,20,2,1,2,1,1,23,1,1,7,3,1,4,1
obv61,Jon M. Bramnick (S),21,1,2,1,2,4,3,1,2,10,2,4,16,1
obv62,Michele Matsikoudis (ASW),21,2,2,2,2,2,3,1,2,2,3,1,16,1
obv63,Nancy F. Muñoz (ASW),21,2,2,2,2,3,16,1,4,8,5,2,16,1
obv64,Nicholas Scutari (S),22,1,1,1,2,2,21,1,3,7,2,2,16,1
obv65,Linda S. Carter (ASW),22,2,1,2,2,2,7,1,1,7,3,2,9,1
obv66,James J. Kennedy (ASM),22,2,1,1,2,1,9,1,2,5,3,2,9,1
obv67,Douglas J. Steinhardt (S),23,1,2,1,2,4,3,1,2,2,2,3,9,1
